date,region,category,units,revenue,cost,profit
2025-01-01,Braga,Sports,4,356.28,249.87,106.42
2025-01-01,Lisbon,Home Office,4,495.34,358.81,136.53
2025-01-01,Coimbra,Books,1,17.31,10.67,6.64
2025-01-01,Faro,Electronics,6,1691.99,1074.9,617.09
2025-01-02,Porto,Fashion,1,41.82,30.74,11.07
2025-01-02,Porto,Fashion,5,262.29,160.57,101.72
2025-01-02,Faro,Electronics,4,785.77,448.36,337.4
2025-01-02,Porto,Books,4,96.04,53.79,42.25
2025-01-02,Braga,Sports,7,471.66,285.22,186.44
2025-01-02,Faro,Sports,3,259.65,147.81,111.84
2025-01-02,Lisbon,Fashion,5,218.32,151.55,66.77
2025-01-03,Coimbra,Books,2,31.12,18.71,12.41
2025-01-03,Braga,Books,6,139.66,86.69,52.97
2025-01-03,Porto,Books,2,46.46,26.57,19.89
2025-01-03,Faro,Sports,1,80.42,55.72,24.7
2025-01-03,Braga,Fashion,2,97.06,64.83,32.24
2025-01-03,Lisbon,Sports,1,103.03,71.48,31.55
2025-01-04,Faro,Fashion,4,201.58,138.09,63.49
2025-01-04,Coimbra,Fashion,1,65.91,34.8,31.11
2025-01-04,Porto,Fashion,4,267.19,167.32,99.87
2025-01-04,Faro,Books,1,16.94,10.05,6.89
2025-01-04,Faro,Home Office,3,422.14,280.65,141.49
2025-01-04,Braga,Fashion,7,355.23,259.9,95.33
2025-01-04,Porto,Sports,2,136.39,74.11,62.27
2025-01-05,Braga,Sports,4,264.79,172.19,92.61
2025-01-05,Lisbon,Books,4,102.64,63.54,39.1
2025-01-05,Porto,Sports,3,220.52,135.41,85.1
2025-01-05,Lisbon,Books,3,49.55,37.47,12.08
2025-01-05,Coimbra,Electronics,5,996.01,768.9,227.1
2025-01-05,Braga,Home Office,2,183.98,108.69,75.29
2025-01-05,Lisbon,Sports,1,68.64,43.83,24.81
2025-01-05,Porto,Sports,6,476.75,269.82,206.93
2025-01-06,Faro,Fashion,1,47.72,30.18,17.54
2025-01-06,Porto,Sports,5,525.17,361.82,163.35
2025-01-06,Lisbon,Sports,6,474.75,307.85,166.9
2025-01-06,Lisbon,Fashion,3,179.72,98.29,81.43
2025-01-06,Coimbra,Electronics,6,1014.23,680.63,333.6
2025-01-07,Porto,Fashion,5,259.72,199.78,59.94
2025-01-07,Coimbra,Fashion,4,237.24,128.47,108.77
2025-01-07,Coimbra,Home Office,5,662.16,442.75,219.41
2025-01-07,Coimbra,Fashion,4,234.72,142.29,92.43
2025-01-07,Coimbra,Fashion,6,318.38,233.96,84.42
2025-01-08,Faro,Electronics,4,652.16,357.53,294.62
2025-01-08,Braga,Electronics,5,1085.21,769.43,315.78
2025-01-08,Braga,Books,3,57.76,33.49,24.27
2025-01-08,Porto,Electronics,1,180.11,111.03,69.08
2025-01-08,Faro,Home Office,4,371.65,285.33,86.31
2025-01-08,Braga,Books,3,63.42,37.2,26.22
2025-01-09,Lisbon,Books,2,39.0,24.69,14.31
2025-01-09,Faro,Books,2,61.37,46.13,15.24
2025-01-09,Porto,Books,7,165.0,99.36,65.65
2025-01-09,Braga,Electronics,3,842.54,458.81,383.72
2025-01-09,Braga,Sports,6,470.61,359.35,111.27
2025-01-09,Porto,Books,1,31.48,17.62,13.86
2025-01-09,Braga,Electronics,2,600.76,449.0,151.76
2025-01-09,Lisbon,Electronics,2,510.77,394.66,116.11
2025-01-09,Coimbra,Home Office,4,460.39,241.07,219.32
2025-01-10,Porto,Home Office,1,139.32,76.86,62.46
2025-01-10,Coimbra,Home Office,7,584.05,334.04,250.01
2025-01-10,Faro,Sports,6,553.04,393.84,159.2
2025-01-10,Lisbon,Books,4,98.75,61.56,37.19
2025-01-10,Faro,Electronics,3,825.46,571.5,253.96
2025-01-11,Coimbra,Books,3,54.52,28.7,25.82
2025-01-11,Coimbra,Fashion,2,80.18,44.62,35.56
2025-01-11,Braga,Sports,3,366.61,247.45,119.16
2025-01-11,Faro,Electronics,6,837.06,606.07,231.0
2025-01-11,Faro,Books,1,28.63,21.06,7.57
2025-01-12,Coimbra,Sports,2,143.9,97.5,46.4
2025-01-12,Faro,Books,6,114.53,70.7,43.83
2025-01-12,Faro,Sports,3,219.7,163.8,55.9
2025-01-12,Coimbra,Home Office,4,325.51,232.4,93.11
2025-01-12,Faro,Home Office,6,1242.91,667.82,575.09
2025-01-13,Porto,Fashion,2,157.54,94.63,62.91
2025-01-13,Lisbon,Books,7,170.74,101.42,69.32
2025-01-13,Coimbra,Books,2,28.88,15.17,13.7
2025-01-13,Lisbon,Sports,2,129.18,87.03,42.15
2025-01-13,Coimbra,Electronics,5,1142.74,688.71,454.04
2025-01-13,Coimbra,Books,6,108.19,57.48,50.71
2025-01-14,Lisbon,Fashion,7,586.47,392.07,194.4
2025-01-14,Faro,Home Office,3,291.32,179.79,111.54
2025-01-14,Coimbra,Books,7,199.86,106.63,93.23
2025-01-14,Coimbra,Electronics,7,868.33,641.99,226.35
2025-01-14,Faro,Books,2,38.81,28.05,10.76
2025-01-14,Braga,Books,5,101.97,56.59,45.38
2025-01-14,Coimbra,Books,3,90.28,57.81,32.47
2025-01-14,Braga,Fashion,3,172.28,101.52,70.76
2025-01-14,Lisbon,Electronics,4,952.16,552.7,399.46
2025-01-15,Porto,Home Office,4,440.58,272.57,168.01
2025-01-15,Lisbon,Home Office,5,549.83,421.56,128.27
2025-01-15,Faro,Sports,6,582.46,383.96,198.49
2025-01-15,Faro,Fashion,6,366.22,267.02,99.19
2025-01-15,Coimbra,Fashion,6,272.46,193.74,78.72
