month,city,bedrooms,area_sqm,rent_eur,rent_per_sqm
2024-01-01,Lisbon,1,60,1495.52,24.93
2024-01-01,Lisbon,3,112,1639.58,14.64
2024-01-01,Lisbon,3,113,1600.68,14.17
2024-01-01,Lisbon,3,114,1559.05,13.68
2024-01-01,Lisbon,2,89,1478.69,16.61
2024-01-01,Lisbon,2,74,1400.52,18.93
2024-01-01,Lisbon,2,94,1504.72,16.01
2024-01-01,Lisbon,1,74,1472.02,19.89
2024-01-01,Lisbon,2,77,1404.14,18.24
2024-01-01,Lisbon,1,71,1377.42,19.4
2024-01-01,Lisbon,3,106,1541.62,14.54
2024-01-01,Lisbon,1,77,1194.19,15.51
2024-01-01,Lisbon,1,59,1385.96,23.49
2024-01-01,Lisbon,3,129,1510.65,11.71
2024-01-01,Lisbon,1,74,1211.39,16.37
2024-01-01,Lisbon,1,63,1258.2,19.97
2024-01-01,Lisbon,1,80,1247.19,15.59
2024-01-01,Lisbon,2,92,1263.39,13.73
2024-01-01,Lisbon,4,116,1766.65,15.23
2024-01-01,Lisbon,2,89,1276.74,14.35
2024-01-01,Lisbon,2,100,1340.09,13.4
2024-01-01,Lisbon,1,72,1387.35,19.27
2024-01-01,Lisbon,2,113,1513.71,13.4
2024-01-01,Lisbon,2,87,1203.8,13.84
2024-01-01,Lisbon,3,104,1635.71,15.73
2024-02-01,Lisbon,2,91,1349.25,14.83
2024-02-01,Lisbon,4,118,1981.92,16.8
2024-02-01,Lisbon,1,86,1495.81,17.39
2024-02-01,Lisbon,2,102,1437.5,14.09
2024-02-01,Lisbon,2,107,1596.75,14.92
2024-02-01,Lisbon,2,74,1373.79,18.56
2024-02-01,Lisbon,3,122,1361.57,11.16
2024-02-01,Lisbon,2,78,1264.53,16.21
2024-02-01,Lisbon,3,106,1678.96,15.84
2024-02-01,Lisbon,3,101,1259.61,12.47
2024-02-01,Lisbon,1,88,1600.87,18.19
2024-02-01,Lisbon,2,79,1411.2,17.86
2024-02-01,Lisbon,2,82,1480.89,18.06
2024-02-01,Lisbon,2,82,1381.59,16.85
2024-02-01,Lisbon,2,77,1508.72,19.59
2024-02-01,Lisbon,1,68,1509.92,22.2
