date,city,temperature_c,humidity_percent,rainfall_mm
2023-01-01,Guarda,3.0,80.6,0.9
2023-01-02,Guarda,4.3,85.8,7.6
2023-01-03,Guarda,3.0,75.9,3.8
2023-01-04,Guarda,3.8,84.8,4.6
2023-01-05,Guarda,3.7,77.3,1.6
2023-01-06,Guarda,3.1,73.5,7.4
2023-01-07,Guarda,4.1,86.3,2.9
2023-01-08,Guarda,6.6,85.6,8.2
2023-01-09,Guarda,-0.6,97.7,0.6
2023-01-10,Guarda,5.9,85.9,3.2
2023-01-11,Guarda,7.1,82.5,0.4
2023-01-12,Guarda,4.7,90.5,4.8
2023-01-13,Guarda,3.5,82.7,5.4
2023-01-14,Guarda,6.0,61.9,2.7
2023-01-15,Guarda,4.0,76.4,6.2
2023-01-16,Guarda,4.8,82.2,4.5
2023-01-17,Guarda,4.8,88.3,3.4
2023-01-18,Guarda,4.1,80.3,4.8
2023-01-19,Guarda,2.7,80.7,0.4
2023-01-20,Guarda,4.5,94.8,8.3
2023-01-21,Guarda,5.0,83.6,2.4
2023-01-22,Guarda,3.9,95.0,1.9
2023-01-23,Guarda,-0.9,87.6,7.5
2023-01-24,Guarda,3.6,84.9,3.0
2023-01-25,Guarda,4.2,94.7,1.5
2023-01-26,Guarda,7.6,87.3,0.9
2023-01-27,Guarda,6.3,66.6,0.5
2023-01-28,Guarda,4.7,77.7,7.0
2023-01-29,Guarda,4.1,76.6,4.6
2023-01-30,Guarda,4.1,69.0,2.2
2023-01-31,Guarda,6.9,75.8,4.6
2023-02-01,Guarda,8.3,79.9,1.9
2023-02-02,Guarda,6.2,70.7,3.1
2023-02-03,Guarda,6.3,76.3,6.6
2023-02-04,Guarda,4.2,79.4,3.8
2023-02-05,Guarda,8.4,82.3,3.2
2023-02-06,Guarda,7.4,81.7,0.3
2023-02-07,Guarda,6.1,84.7,2.0
2023-02-08,Guarda,0.9,73.1,4.6
2023-02-09,Guarda,6.7,72.2,1.3
2023-02-10,Guarda,3.3,94.1,11.6
2023-02-11,Guarda,7.1,76.9,4.0
2023-02-12,Guarda,4.9,71.4,2.2
2023-02-13,Guarda,9.2,74.6,3.2
2023-02-14,Guarda,9.4,80.2,4.1
2023-02-15,Guarda,8.9,87.4,0.2
2023-02-16,Guarda,5.2,82.5,3.2
2023-02-17,Guarda,6.4,71.2,4.6
2023-02-18,Guarda,4.1,70.7,0.6
2023-02-19,Guarda,8.2,72.8,6.5
2023-02-20,Guarda,6.6,77.7,8.6
2023-02-21,Guarda,11.0,84.1,2.9
2023-02-22,Guarda,6.8,79.2,1.7
2023-02-23,Guarda,6.1,76.6,5.2
2023-02-24,Guarda,5.9,82.0,1.0
2023-02-25,Guarda,6.2,82.4,2.9
2023-02-26,Guarda,8.1,76.5,5.0
2023-02-27,Guarda,7.9,77.0,0.6
2023-02-28,Guarda,7.5,76.0,3.0
2023-03-01,Guarda,7.1,72.9,3.8
2023-03-02,Guarda,3.6,79.8,2.6
2023-03-03,Guarda,11.3,70.0,6.3
2023-03-04,Guarda,9.1,73.3,3.1
2023-03-05,Guarda,9.9,85.9,1.0
2023-03-06,Guarda,11.0,72.5,8.4
2023-03-07,Guarda,9.0,67.4,3.3
2023-03-08,Guarda,10.8,69.6,1.4
2023-03-09,Guarda,12.6,78.2,11.4
2023-03-10,Guarda,10.8,78.4,9.1
2023-03-11,Guarda,7.4,79.0,3.7
2023-03-12,Guarda,6.0,62.3,2.1
2023-03-13,Guarda,9.3,77.9,1.6
2023-03-14,Guarda,7.9,74.7,4.6
2023-03-15,Guarda,8.7,63.5,4.6
2023-03-16,Guarda,10.4,71.2,3.9
2023-03-17,Guarda,9.6,67.4,2.8
2023-03-18,Guarda,15.3,69.0,3.8
2023-03-19,Guarda,14.0,65.7,8.3
2023-03-20,Guarda,16.6,73.7,0.7
2023-03-21,Guarda,14.2,71.5,2.8
2023-03-22,Guarda,10.7,69.2,1.0
2023-03-23,Guarda,8.9,71.6,4.4
2023-03-24,Guarda,9.0,63.1,4.6
2023-03-25,Guarda,7.3,72.6,1.1
2023-03-26,Guarda,11.6,67.9,3.1
2023-03-27,Guarda,10.4,67.5,0.8
2023-03-28,Guarda,11.7,59.0,1.7
2023-03-29,Guarda,11.5,71.6,4.8
2023-03-30,Guarda,15.2,57.1,2.1
2023-03-31,Guarda,14.1,61.8,1.7
2023-04-01,Guarda,11.6,64.1,2.2
2023-04-02,Guarda,15.3,71.1,0.2
2023-04-03,Guarda,9.8,76.9,3.2
2023-04-04,Guarda,11.6,62.6,0.6
2023-04-05,Guarda,16.6,73.7,2.1
2023-04-06,Guarda,11.2,61.4,1.0
2023-04-07,Guarda,14.6,72.2,1.5
2023-04-08,Guarda,9.9,75.6,0.1
2023-04-09,Guarda,15.6,68.5,0.2
2023-04-10,Guarda,15.0,69.3,0.3
2023-04-11,Guarda,11.2,69.9,0.4
2023-04-12,Guarda,14.5,73.4,1.2
2023-04-13,Guarda,15.6,80.0,1.8
2023-04-14,Guarda,13.1,60.4,1.7
2023-04-15,Guarda,15.1,74.5,1.1
2023-04-16,Guarda,20.1,76.6,1.5
2023-04-17,Guarda,14.8,69.1,0.6
2023-04-18,Guarda,15.4,81.9,0.2
2023-04-19,Guarda,16.3,67.1,0.9
2023-04-20,Guarda,16.2,66.6,0.9
2023-04-21,Guarda,13.1,77.1,1.5
2023-04-22,Guarda,14.8,55.7,1.9
2023-04-23,Guarda,17.7,53.0,3.0
2023-04-24,Guarda,16.3,65.5,1.8
2023-04-25,Guarda,20.3,65.4,0.5
2023-04-26,Guarda,18.9,63.3,1.4
2023-04-27,Guarda,14.7,65.1,0.8
2023-04-28,Guarda,22.2,67.4,2.0
2023-04-29,Guarda,18.0,61.9,0.5
2023-04-30,Guarda,12.8,66.4,0.2
2023-05-01,Guarda,17.3,61.5,0.9
2023-05-02,Guarda,20.2,60.2,0.4
2023-05-03,Guarda,15.5,49.3,1.5
2023-05-04,Guarda,16.9,62.8,0.6
2023-05-05,Guarda,20.3,57.9,0.3
2023-05-06,Guarda,20.1,51.6,1.3
2023-05-07,Guarda,17.1,58.2,2.1
2023-05-08,Guarda,16.3,57.5,2.6
2023-05-09,Guarda,18.2,53.9,2.2
2023-05-10,Guarda,19.1,58.4,2.6
2023-05-11,Guarda,16.6,59.7,0.5
2023-05-12,Guarda,20.2,56.0,1.1
2023-05-13,Guarda,22.3,60.1,1.1
2023-05-14,Guarda,22.5,61.4,1.1
2023-05-15,Guarda,19.9,63.1,2.0
2023-05-16,Guarda,19.8,69.8,2.2
2023-05-17,Guarda,15.7,58.0,3.1
2023-05-18,Guarda,19.7,58.3,2.0
2023-05-19,Guarda,17.7,61.0,0.4
2023-05-20,Guarda,23.7,63.3,3.7
2023-05-21,Guarda,21.3,59.3,0.8
2023-05-22,Guarda,18.7,49.0,0.7
2023-05-23,Guarda,17.3,47.8,1.6
2023-05-24,Guarda,21.2,63.1,1.4
2023-05-25,Guarda,23.0,61.2,1.0
2023-05-26,Guarda,21.1,53.7,0.1
2023-05-27,Guarda,21.9,39.6,1.5
2023-05-28,Guarda,18.0,55.1,0.8
2023-05-29,Guarda,23.0,49.3,1.3
2023-05-30,Guarda,19.3,55.2,1.5
2023-05-31,Guarda,24.6,51.8,0.2
2023-06-01,Guarda,22.2,49.4,1.2
2023-06-02,Guarda,18.2,50.9,1.3
2023-06-03,Guarda,19.8,55.8,0.7
2023-06-04,Guarda,22.2,52.0,1.4
2023-06-05,Guarda,22.1,57.8,4.9
2023-06-06,Guarda,20.8,49.9,0.3
2023-06-07,Guarda,22.7,59.5,1.2
2023-06-08,Guarda,20.2,47.8,0.5
2023-06-09,Guarda,24.3,67.0,0.1
2023-06-10,Guarda,22.0,55.5,0.5
2023-06-11,Guarda,22.3,61.2,0.4
2023-06-12,Guarda,22.5,47.1,2.2
2023-06-13,Guarda,20.5,49.4,0.7
2023-06-14,Guarda,22.5,58.2,1.8
2023-06-15,Guarda,26.3,63.3,0.7
2023-06-16,Guarda,20.9,56.1,0.3
2023-06-17,Guarda,17.0,50.7,2.2
2023-06-18,Guarda,21.5,55.4,0.3
2023-06-19,Guarda,23.8,55.5,1.7
2023-06-20,Guarda,21.1,66.8,1.2
2023-06-21,Guarda,20.0,52.6,1.7
2023-06-22,Guarda,20.7,51.2,2.4
2023-06-23,Guarda,23.1,56.2,0.2
2023-06-24,Guarda,24.3,51.3,2.1
2023-06-25,Guarda,23.8,53.5,2.0
2023-06-26,Guarda,22.0,58.1,1.2
2023-06-27,Guarda,21.6,49.2,0.1
2023-06-28,Guarda,23.1,58.4,0.2
